player_id,name,position
14135,Anthony Sherman,RB
14304,Dane Sanzenbacher,WR
15003,Rhett Ellison,TE
16330,Joseph Fauria,TE
17342,Fitzgerald Toussaint,RB
16728,Teddy Bridgewater,QB
9667,Charlie Whitehurst,QB
15837,Mike Glennon,QB
16724,Blake Bortles,QB
17143,Branden Oliver,RB
17167,Philly Brown,WR
8482,Courtney Roby,WR
14056,Daniel Thomas,RB
17153,Darrin Reaves,RB
10598,Dante Rosario,TE
13376,Clay Harbor,TE
14500,Jeremy Ross,WR
13966,Christian Ponder,QB
8520,Kyle Orton,QB
12585,Louis Murphy,WR
14106,Greg Salas,WR
15755,Fozzy Whittaker,RB
15853,Vance McDonald,TE
16002,Kyle Juszczyk,RB
16022,Ace Sanders,WR
16488,George Winn,RB
16733,Odell Beckham Jr.,WR
4582,Brandon Lloyd,WR
11408,Josh Morgan,WR
12517,Chris Ogbonnaya,RB
13703,Preston Parker,WR
15457,Travaris Cadet,RB
15647,Chase Ford,TE
16121,Luke Willson,TE
16143,Josh Hill,TE
16227,Russell Shepard,WR
16946,Bruce Ellington,WR
17179,Ryan Grant,RB
17183,Trey Watts,RB
11122,Matt Prater,PK
16884,Storm Johnson,RB
16014,Corey Fuller,WR
11461,Peyton Hillis,RB
11373,Jacob Tamme,TE
15351,Derrick Coleman,RB
15994,Theo Riddick,RB
17178,Adam Thielen,WR
15252,Brian Tyms,WR
14402,Chris Hogan,WR
15896,Brice Butler,WR
10287,Daniel Fells,TE
15670,Cooper Helfet,TE
15885,Charles Johnson,WR
15974,Dion Sims,TE
16775,Crockett Gillmore,TE
16784,Tre Mason,RB
17154,Brenton Bersin,RB
13199,Colt McCoy,QB
16814,Zach Mettenberger,QB
11392,Kellen Davis,TE
15364,Jonas Gray,RB
16781,Paul Richardson,WR
16886,Martavis Bryant,WR
16945,De'Anthony Thomas,RB
9668,Derek Hagan,WR
11369,Jerome Felton,RB
15092,Bryce Brown,RB
15296,Joe Banyard,RB
15836,Gavin Escobar,TE
14878,Brandon Weeden,QB
2549,Michael Vick,QB
15822,Stedman Bailey,WR
15855,Christine Michael,RB
17144,Robert Herron,WR
17181,Frankie Hammond,TE
12482,Mark Sanchez,QB
16749,Charles Sims,RB
16956,Marion Grice,RB
12519,Cedric Peerman,RB
17193,James Wright,WR
15839,Marquise Goodwin,WR
16755,Dri Archer,RB
16779,Josh Huff,WR
14037,Ryan Mallett,QB
5557,Benjamin Watson,TE
12536,Chase Coffman,TE
15041,Daniel Herron,RB
15705,Josh Gordon,WR
16172,Jaron Brown,WR
14920,T.J. Graham,WR
